"Date","Site","Sub.site","Compound.Site","Sample.Type","Year","Month","Day","Site.Type","SRP","NH4","TDN","TDP","Seston.P","TP"
"5/9/12","DB","UP","DB-UP","s",2012,5,9,"u",0.6285983,5.404,19.653,0.261511663,NA,NA
"3/30/12","DB","DWN","DB-DWN","s",2012,3,30,"u",0.5251,0.376,12.791,NA,NA,NA
"4/6/12","DB","DWN","DB-DWN","s",2012,4,6,"u",NA,NA,NA,NA,NA,NA
"4/16/12","DB","DWN","DB-DWN","s",2012,4,16,"u",0.6303,4.138,16.148,0.290568514,NA,NA
"4/26/12","DB","DWN","DB-DWN","s",2012,4,26,"u",0.4089,7.306,16.775,0.164655491,NA,NA
"5/9/12","DB","DWN","DB-DWN","s",2012,5,9,"u",0.6175,5.348,27.294,0.47459524,NA,NA
"5/31/12","DB","L","DB-L","s",2012,5,31,"u",1.713,4.4,15.769,0.526251864,NA,NA
"6/12/12","DB","L","DB-L","s",2012,6,12,"u",0.697,1.074,11.44,0.636022192,1.29e-06,2.622182192
"6/26/12","DB","L","DB-L","s",2012,6,26,"u",0.941,5.7,14.464,0.326082444,1.03e-06,2.295762444
"7/10/12","DB","L","DB-L","s",2012,7,10,"u",0.93,6.38,14.621,0.632793653,1.14e-06,2.704024422
"7/26/12","DB","L","DB-L","s",2012,7,26,"u",1.686,5.76,11.678,1.100931815,1.88e-06,4.665031815
"8/14/12","DB","L","DB-L","s",2012,8,14,"u",1.144,6.01,12.36,0.881391159,8.52e-07,2.877591159
"9/5/12","DB","L","DB-L","s",2012,9,5,"u",1.984,7,47.364,1.846724334,7.18e-07,4.548904334
"4/25/13","DB","L","DB-L","s",2013,4,25,"u",0.391,0.376,17.104,0.232454811,2.84e-07,0.907891478
"5/8/13","DB","L","DB-L","s",2013,5,8,"u",0.5247,0.681,13.218,0.561765794,8.29e-07,1.915415794
"5/21/13","DB","L","DB-L","s",2013,5,21,"u",0.5212,0.434,19.83,0.316396826,1.42e-06,2.258496826
"6/5/13","DB","L","DB-L","s",2013,6,5,"u",1.2166,1.186,27.507,1.007304182,4.3e-07,2.653544182
"3/30/12","DB","LAT","DB-LAT","s",2012,3,30,"u",0.30324615,0.376,19.616,NA,NA,NA
"4/6/12","DB","LAT","DB-LAT","s",2012,4,6,"u",0.21425995,4.044,13.191,0.206626499,NA,NA
"4/16/12","DB","LAT","DB-LAT","s",2012,4,16,"u",1.2682855,3.964,32.084,0.545623099,NA,NA
"4/26/12","DB","LAT","DB-LAT","s",2012,4,26,"u",0.34152685,7.332,24.591,0.27119728,NA,NA
"5/9/12","DB","LAT","DB-LAT","s",2012,5,9,"u",0.4996817,5.323,18.76,0.248597507,NA,NA
"3/30/12","DB","UP","DB-UP","s",2012,3,30,"u",0.63710655,0.376,17.435,NA,NA,NA
"4/6/12","DB","UP","DB-UP","s",2012,4,6,"u",0.3983166,3.884,11.693,0.122684484,NA,NA
"4/16/12","DB","UP","DB-UP","s",2012,4,16,"u",0.59542125,4.05,12.731,0.229226272,NA,NA
"4/26/12","DB","UP","DB-UP","s",2012,4,26,"u",0.4461316,7.243,18.703,0.206626499,NA,NA
"6/18/12","DB","L","DB-L","sw",2012,6,18,"u",0.87,1.231,25.822,0.739335441,NA,NA
"7/17/12","DB","L","DB-L","sw",2012,7,17,"u",0.606,14.8,43.572,0.368053451,NA,NA
"8/20/12","DB","L","DB-L","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","DB","L","DB-L","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DB","L","DB-L","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DB","L","DB-L","sw",2013,4,4,"m",NA,NA,NA,0.629565114,NA,NA
"5/15/13","DB","L","DB-L","sw",2013,5,15,"u",0.6675,6.949,37.807,NA,NA,NA
"6/11/13","DB","L","DB-L","sw",2013,6,11,"u",0.8837,1.594,27.651,0.826505996,NA,NA
"7/1/13","DB","L","DB-L","sw",2013,7,1,"u",1.8943,0.503,22.99,1.023446877,NA,NA
"8/5/13","DB","L","DB-L","sw",2013,8,5,"u",1.8697,3.262,19.33,0.322853905,NA,NA
"10/16/13","DB","L","DB-L","sw",2013,10,16,"u",0.7286,3.17,380.5,0.410024459,NA,NA
"6/18/12","DB","M","DB-M","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","DB","M","DB-M","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","DB","M","DB-M","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","DB","M","DB-M","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DB","M","DB-M","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DB","M","DB-M","sw",2013,4,4,"u",0.2034,8.589,48.561,1.023446877,NA,NA
"5/15/13","DB","M","DB-M","sw",2013,5,15,"u",NA,NA,NA,NA,NA,NA
"6/11/13","DB","M","DB-M","sw",2013,6,11,"u",1.026,0.888,30.909,1.220387759,NA,NA
"7/1/13","DB","M","DB-M","sw",2013,7,1,"u",1.9565,0.399,30.824,1.569069976,NA,NA
"8/5/13","DB","M","DB-M","sw",2013,8,5,"u",1.904,3.939,31.334,0.190483804,NA,NA
"10/16/13","DB","M","DB-M","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
"6/18/12","DB","U","DB-U","sw",2012,6,18,"u",NA,NA,NA,NA,NA,NA
"7/17/12","DB","U","DB-U","sw",2012,7,17,"u",NA,NA,NA,NA,NA,NA
"8/20/12","DB","U","DB-U","sw",2012,8,20,"u",NA,NA,NA,NA,NA,NA
"9/30/12","DB","U","DB-U","sw",2012,9,30,"u",NA,NA,NA,NA,NA,NA
"11/11/12","DB","U","DB-U","sw",2012,11,11,"u",NA,NA,NA,NA,NA,NA
"4/4/13","DB","U","DB-U","sw",2013,4,4,"u",NA,NA,NA,NA,NA,NA
"5/15/13","DB","U","DB-U","sw",2013,5,15,"u",NA,NA,NA,NA,NA,NA
"6/11/13","DB","U","DB-U","sw",2013,6,11,"u",0.639,1.276,64.084,1.459299649,NA,NA
"7/1/13","DB","U","DB-U","sw",2013,7,1,"u",NA,NA,NA,NA,NA,NA
"8/5/13","DB","U","DB-U","sw",2013,8,5,"u",NA,NA,NA,NA,NA,NA
"10/16/13","DB","U","DB-U","sw",2013,10,16,"u",NA,NA,NA,NA,NA,NA
