Date,Site,Sub site,Compound Site,Sample Type,Year,Month,Day,Site Type,SRP ,NH4 ,TDN ,TDP ,Seston P,TP
5/31/12,BF,L,BF-L,s,2012,5,31,m,0.698,4.88,51.029,0.561765794,,
6/12/12,BF,L,BF-L,s,2012,6,12,m,0.746,1.295,44.293,0.581137028,1.82E-06,3.151279885
6/26/12,BF,L,BF-L,s,2012,6,26,m,2.208,6.18,51.136,1.100931815,1.45E-06,4.761531815
7/10/12,BF,L,BF-L,s,2012,7,10,m,2.035,6.04,55.649,1.100931815,1.57E-06,4.710681815
7/26/12,BF,L,BF-L,s,2012,7,26,m,3.222,5.75,59.645,0.868477003,8.13E-07,4.903723157
9/5/12,BF,L,BF-L,s,2012,9,5,m,0.74,8.83,52.243,0.716735668,1.24E-06,2.692716918
11/11/12,BF,L,BF-L,s,2012,11,11,m,0.201,46.629,105.658,0.716735668,1.96E-06,2.874402335
4/25/13,BF,L,BF-L,s,2013,4,25,m,0.201,1.699,34.091,0.548851638,6.10E-07,1.359771638
5/8/13,BF,L,BF-L,s,2013,5,8,m,0.201,1.324,38.924,0.865248464,6.11E-07,1.676901798
5/21/13,BF,L,BF-L,s,2013,5,21,m,0.6763,1.536,45.132,0.807134761,4.28E-07,1.911048095
6/5/13,BF,L,BF-L,s,2013,6,5,m,0.8786,2.343,51.017,1.188102369,5.00E-07,2.566662369
3/30/12,CB,DWN,CB-DWN,s,2012,3,30,m,0.3208,0.376,25.138,,,
4/16/12,CB,DWN,CB-DWN,s,2012,4,16,m,0.201,4.027,21.46,0.184026726,,
5/9/12,DB,UP,DB-UP,s,2012,5,9,u,0.6285983,5.404,19.653,0.261511663,,
5/31/12,DL,L,DL-L,s,2012,5,31,m,1.235,5.02,46.023,0.826505996,,
6/12/12,DL,L,DL-L,s,2012,6,12,m,0.354,1.854,38.417,0.6779932,6.66E-07,1.6975532
6/26/12,DL,L,DL-L,s,2012,6,26,m,0.519,5.81,42.33,0.487509396,8.62E-07,1.868842729
8/14/12,BF,L,BF-L,s,2012,8,14,m,1.4,6.51,48.422,0.975018792,1.53E-06,3.908430556
4/6/12,CB,DWN,CB-DWN,s,2012,4,6,m,0.201,4.091,18.229,0.142055718,,
4/26/12,CB,DWN,CB-DWN,s,2012,4,26,m,0.201,7.338,21.09,0.164655491,,
5/9/12,CB,DWN,CB-DWN,s,2012,5,9,m,0.2107,5.392,23.722,0.200169421,,
5/31/12,CB,L,CB-L,s,2012,5,31,m,0.341,4.54,25.097,0.274425819,,
6/12/12,CB,L,CB-L,s,2012,6,12,m,0.238,1.231,18.807,0.187255265,0.000000457,0.882255265
6/26/12,CB,L,CB-L,s,2012,6,26,m,0.201,6.86,19.199,0.184026726,8.75E-07,1.259606726
7/10/12,CB,L,CB-L,s,2012,7,10,m,0.201,6.18,19.012,0.177569648,6.44E-07,1.022649648
7/26/12,CB,L,CB-L,s,2012,7,26,m,0.201,5.93,16.966,0.125913023,8.13E-07,1.139633023
8/14/12,CB,L,CB-L,s,2012,8,14,m,0.201,6.11,16.48,0.16788403,3.17E-07,0.686148736
9/5/12,CB,L,CB-L,s,2012,9,5,m,0.214,9.02,30.109,0.274425819,3.15E-07,0.803465819
11/11/12,CB,L,CB-L,s,2012,11,11,m,0.201,8.095,44.314,0.103313249,2.80E-07,0.584569916
4/25/13,CB,L,CB-L,s,2013,4,25,m,0.201,0.939,19.354,0.209855038,2.68E-07,0.678578371
5/8/13,CB,L,CB-L,s,2013,5,8,m,0.201,1.581,26.522,0.390653225,6.49E-07,1.241113225
5/21/13,CB,L,CB-L,s,2013,5,21,m,0.2319,1.353,31.989,0.251826046,6.91E-07,1.174686046
6/5/13,CB,L,CB-L,s,2013,6,5,m,0.201,1.956,30.366,0.390653225,3.07E-07,0.898357225
3/30/12,CB,LAT,CB-LAT,s,2012,3,30,m,0.4020864,0.376,27.479,,,
4/6/12,CB,LAT,CB-LAT,s,2012,4,6,m,0.201,4.477,26.734,0.526251864,,
4/16/12,CB,LAT,CB-LAT,s,2012,4,16,m,0.201,4.202,34.647,0.461681084,,
4/26/12,CB,LAT,CB-LAT,s,2012,4,26,m,0.201,7.481,33.297,0.290568514,,
5/9/12,CB,LAT,CB-LAT,s,2012,5,9,m,0.2818571,5.514,34.488,,,
3/30/12,CB,UP,CB-UP,s,2012,3,30,m,0.2790852,0.727,25.006,,,
4/6/12,CB,UP,CB-UP,s,2012,4,6,m,0.201,4.24,18.125,0.229226272,,
4/16/12,CB,UP,CB-UP,s,2012,4,16,m,0.201,4.242,20.396,0.206626499,,
4/26/12,CB,UP,CB-UP,s,2012,4,26,m,0.21600115,7.33,24.83,0.206626499,,
5/9/12,CB,UP,CB-UP,s,2012,5,9,m,0.2640755,5.38,23.241,0.27119728,,
3/30/12,DB,DWN,DB-DWN,s,2012,3,30,u,0.5251,0.376,12.791,,,
4/6/12,DB,DWN,DB-DWN,s,2012,4,6,u,,,,,,
4/16/12,DB,DWN,DB-DWN,s,2012,4,16,u,0.6303,4.138,16.148,0.290568514,,
4/26/12,DB,DWN,DB-DWN,s,2012,4,26,u,0.4089,7.306,16.775,0.164655491,,
5/9/12,DB,DWN,DB-DWN,s,2012,5,9,u,0.6175,5.348,27.294,0.47459524,,
5/31/12,DB,L,DB-L,s,2012,5,31,u,1.713,4.4,15.769,0.526251864,,
6/12/12,DB,L,DB-L,s,2012,6,12,u,0.697,1.074,11.44,0.636022192,1.29E-06,2.622182192
6/26/12,DB,L,DB-L,s,2012,6,26,u,0.941,5.7,14.464,0.326082444,1.03E-06,2.295762444
7/10/12,DB,L,DB-L,s,2012,7,10,u,0.93,6.38,14.621,0.632793653,1.14E-06,2.704024422
7/26/12,DB,L,DB-L,s,2012,7,26,u,1.686,5.76,11.678,1.100931815,1.88E-06,4.665031815
8/14/12,DB,L,DB-L,s,2012,8,14,u,1.144,6.01,12.36,0.881391159,8.52E-07,2.877591159
9/5/12,DB,L,DB-L,s,2012,9,5,u,1.984,7,47.364,1.846724334,7.18E-07,4.548904334
4/25/13,DB,L,DB-L,s,2013,4,25,u,0.391,0.376,17.104,0.232454811,2.84E-07,0.907891478
5/8/13,DB,L,DB-L,s,2013,5,8,u,0.5247,0.681,13.218,0.561765794,8.29E-07,1.915415794
5/21/13,DB,L,DB-L,s,2013,5,21,u,0.5212,0.434,19.83,0.316396826,1.42E-06,2.258496826
6/5/13,DB,L,DB-L,s,2013,6,5,u,1.2166,1.186,27.507,1.007304182,4.30E-07,2.653544182
3/30/12,DB,LAT,DB-LAT,s,2012,3,30,u,0.30324615,0.376,19.616,,,
4/6/12,DB,LAT,DB-LAT,s,2012,4,6,u,0.21425995,4.044,13.191,0.206626499,,
4/16/12,DB,LAT,DB-LAT,s,2012,4,16,u,1.2682855,3.964,32.084,0.545623099,,
4/26/12,DB,LAT,DB-LAT,s,2012,4,26,u,0.34152685,7.332,24.591,0.27119728,,
5/9/12,DB,LAT,DB-LAT,s,2012,5,9,u,0.4996817,5.323,18.76,0.248597507,,
3/30/12,DB,UP,DB-UP,s,2012,3,30,u,0.63710655,0.376,17.435,,,
4/6/12,DB,UP,DB-UP,s,2012,4,6,u,0.3983166,3.884,11.693,0.122684484,,
4/16/12,DB,UP,DB-UP,s,2012,4,16,u,0.59542125,4.05,12.731,0.229226272,,
4/26/12,DB,UP,DB-UP,s,2012,4,26,u,0.4461316,7.243,18.703,0.206626499,,
7/10/12,DL,L,DL-L,s,2012,7,10,m,0.613,8.29,48.412,0.668307582,1.08E-06,2.360479011
7/26/12,DL,L,DL-L,s,2012,7,26,m,0.229,5.99,54.108,0.519794786,6.31E-07,1.379933248
8/14/12,DL,L,DL-L,s,2012,8,14,m,0.253,6.51,47.6,0.581137028,7.62E-07,1.596122742
9/5/12,DL,L,DL-L,s,2012,9,5,m,0.411,8.65,57.452,0.716735668,1.43E-06,2.559195668
4/25/13,DL,L,DL-L,s,2013,4,25,m,0.3308,0.565,36.827,0.794220605,5.17E-07,1.642300605
5/8/13,DL,L,DL-L,s,2013,5,8,m,0.4694,2.029,48.122,0.965333175,4.07E-07,1.841393175
5/21/13,DL,L,DL-L,s,2013,5,21,m,0.262,3.514,61.052,0.623108036,4.13E-07,1.298033036
6/5/13,DL,L,DL-L,s,2013,6,5,m,0.6873,3.293,77.829,1.01376126,9.17E-07,2.61773626
5/31/12,DR,L,DR-L,s,2012,5,31,u,1.091,4.95,26.549,0.484280857,,
6/12/12,DR,L,DR-L,s,2012,6,12,u,0.364,1.959,31.486,0.390653225,1.63E-06,2.389431002
6/26/12,DR,L,DR-L,s,2012,6,26,u,0.58,6.11,15.836,0.348682217,5.06E-07,1.434492217
7/10/12,DR,L,DR-L,s,2012,7,10,u,0.617,5.87,19.468,0.50688063,6.19E-07,1.74273063
7/26/12,DR,L,DR-L,s,2012,7,26,u,0.454,5.61,15.507,0.368053451,1.96E-06,2.781753451
8/14/12,DR,L,DR-L,s,2012,8,14,u,0.553,6.34,18.432,,8.16E-07,
9/5/12,DR,L,DR-L,s,2012,9,5,u,1.047,6.7,34.012,1.178416752,1.24E-06,3.469979252
4/25/13,DR,L,DR-L,s,2013,4,25,u,0.201,0.592,24.776,0.232454811,2.25E-06,2.680554811
5/8/13,DR,L,DR-L,s,2013,5,8,u,0.201,1.665,36.181,0.545623099,1.66E-06,2.409323099
5/21/13,DR,L,DR-L,s,2013,5,21,u,0.8753,0.731,35.495,0.71027859,1.20E-06,2.790311923
6/5/13,DR,L,DR-L,s,2013,6,5,u,0.201,0.6,39.948,0.636022192,5.44E-07,1.380672192
5/31/12,PT,L,PT-L,s,2012,5,31,u,2.319,5.24,57.095,1.146131361,,
6/12/12,PT,L,PT-L,s,2012,6,12,u,0.791,1.43,40.768,1.062189346,8.40E-07,2.692777581
6/26/12,PT,L,PT-L,s,2012,6,26,u,0.882,5.94,49.629,0.887848238,5.96E-07,2.36597551
7/10/12,PT,L,PT-L,s,2012,7,10,u,0.395,6.33,58.572,0.636022192,8.49E-07,1.879552192
7/26/12,PT,L,PT-L,s,2012,7,26,u,0.349,6.42,79.211,0.700592973,2.25E-06,3.297792973
8/14/12,PT,L,PT-L,s,2012,8,14,u,0.541,9.16,111.414,1.016989799,7.95E-07,2.352736466
9/5/12,PT,L,PT-L,s,2012,9,5,u,0.341,7.35,51.609,0.774849371,6.24E-07,1.740141038
4/25/13,PT,L,PT-L,s,2013,4,25,u,0.5089,0.856,46.015,0.887848238,7.64E-07,2.160381331
5/8/13,PT,L,PT-L,s,2013,5,8,u,0.3275,1.14,39.17,1.197787986,2.47E-06,3.995615855
5/21/13,PT,L,PT-L,s,2013,5,21,u,1.4585,0.822,53.331,1.391500329,9.95E-07,3.845066995
6/5/13,PT,L,PT-L,s,2013,6,5,u,3.2562,2.397,47.357,3.867789777,1.07E-06,8.191589777
5/31/12,PT,UP,PT-UP,s,2012,5,31,u,,5.123,56.269,1.230073376,,
3/30/12,PV,DWN,PV-DWN,s,2012,3,30,m,1.195,0.376,18.871,,,
4/6/12,PV,DWN,PV-DWN,s,2012,4,6,m,0.7709,3.909,16.586,0.84587723,,
4/16/12,PV,DWN,PV-DWN,s,2012,4,16,m,1.4802,4.065,18.696,0.758706676,,
4/26/12,PV,DWN,PV-DWN,s,2012,4,26,m,0.8669,7.276,20.694,0.484280857,,
5/9/12,PV,DWN,PV-DWN,s,2012,5,9,m,2.12,5.375,22.778,0.50688063,,
3/22/12,PV,LAT,PV-LAT,s,2012,3,22,m,0,,20.608,,,
3/30/12,PV,LAT,PV-LAT,s,2012,3,30,m,0.7139823,0.376,19.709,,,
4/6/12,PV,LAT,PV-LAT,s,2012,4,6,m,0.5269345,4.293,15.203,0.27119728,,
4/16/12,PV,LAT,PV-LAT,s,2012,4,16,m,1.002865,3.967,18.063,0.632793653,,
4/26/12,PV,LAT,PV-LAT,s,2012,4,26,m,0.6134992,7.29,19.235,0.332539522,,
5/9/12,PV,LAT,PV-LAT,s,2012,5,9,m,1.2353954,5.361,20.92,1.071874963,,
3/22/12,PV,UP,PV-UP,s,2012,3,22,m,0.232278,,19.615,,,
3/30/12,PV,UP,PV-UP,s,2012,3,30,m,1.1796297,0.376,18.579,,,
4/6/12,PV,UP,PV-UP,s,2012,4,6,m,0.6555524,3.975,18.542,0.61019388,,
4/16/12,PV,UP,PV-UP,s,2012,4,16,m,1.25664425,4.275,20.876,0.865248464,,
4/26/12,PV,UP,PV-UP,s,2012,4,26,m,0.64371835,7.297,20.301,0.461681084,,
5/9/12,PV,UP,PV-UP,s,2012,5,9,m,0.7997462,5.335,20.231,0.335768061,,
3/22/12,PV,UP2,PV-UP2,s,2012,3,22,m,0.4023215,,17.905,,,
3/30/12,SB,DWN,SB-DWN,s,2012,3,30,u,0.2571,0.529,24.582,,,
4/6/12,SB,DWN,SB-DWN,s,2012,4,6,u,0.201,4.164,19.243,0.290568514,,
4/16/12,SB,DWN,SB-DWN,s,2012,4,16,u,0.2602,3.979,21.689,0.27119728,,
4/26/12,SB,DWN,SB-DWN,s,2012,4,26,u,0.2021,7.454,25.161,0.206626499,,
5/9/12,SB,DWN,SB-DWN,s,2012,5,9,u,0.4486,5.331,23.243,0.306711209,,
3/22/12,SB,LAT,SB-LAT,s,2012,3,22,u,0,0.376,20.156,,,
3/30/12,SB,LAT,SB-LAT,s,2012,3,30,u,0.63271365,0.376,27.623,,,
4/6/12,SB,LAT,SB-LAT,s,2012,4,6,u,0.4559729,3.896,24.029,0.397110303,,
4/16/12,SB,LAT,SB-LAT,s,2012,4,16,u,0.87481125,4.502,28.086,0.781306449,,
4/26/12,SB,LAT,SB-LAT,s,2012,4,26,u,0.5670082,7.447,29.883,0.652164887,,
5/9/12,SB,LAT,SB-LAT,s,2012,5,9,u,1.1842733,5.424,28.585,0.306711209,,
3/22/12,SB,UP,SB-UP,s,2012,3,22,u,0.4497755,0.376,21.3,,,
3/30/12,SB,UP,SB-UP,s,2012,3,30,u,0.67224975,0.376,20.329,,,
4/6/12,SB,UP,SB-UP,s,2012,4,6,u,0.56019775,3.829,13.464,0.313168287,,
4/16/12,SB,UP,SB-UP,s,2012,4,16,u,0.751414,4.018,15.765,0.290568514,,
4/26/12,SB,UP,SB-UP,s,2012,4,26,u,1.40617075,7.244,20.154,0.503652091,,
5/9/12,SB,UP,SB-UP,s,2012,5,9,u,1.964441,5.478,32.32,0.655393426,,
3/22/12,SB,UP2,SB-UP2,s,2012,3,22,u,0.7186815,0.668,25.582,,,
6/18/12,BF,L,BF-L,sw,2012,6,18,m,1.531,2.024,47.043,0.674764661,,
7/17/12,BF,L,BF-L,sw,2012,7,17,m,1.881,6.38,84.85,1.023446877,,
8/20/12,BF,L,BF-L,sw,2012,8,20,m,0.996,6.25,46.806,0.694135895,,
9/30/12,BF,L,BF-L,sw,2012,9,30,m,0.201,6.43,54.494,0.497195013,5.20E-07,1.218445013
11/11/12,BF,L,BF-L,sw,2012,11,11,m,,,,,,
